,Price,Area,Deposit Fee,Furniture,Ward,District
392,2700000,25,500000,Nội thất đầy đủ, Hòa Cường Bắc, Hải Châu
393,1000000,30,1000000,Nội thất đầy đủ, Khuê Mỹ, Ngũ Hành Sơn
394,1600000,25,500000,, Hòa Phát, Cẩm Lệ
395,1500000,20,1500000,, Hòa Khánh Bắc, Liên Chiểu
396,1400000,19,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
397,1000000,15,,, Hòa An, Cẩm Lệ
398,3900000,100,1800000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
399,1000000,20,200000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
400,2500000,120,,, Hòa Xuân, Cẩm Lệ
401,2000000,15,500000,, Hòa Minh, Liên Chiểu
402,1700000,18,800000,, Thọ Quang, Sơn Trà
403,1000000,12,2000000,Nhà trống, Hòa Châu, Hòa Vang
404,2200000,30,2200000,, Hòa Khánh Nam, Liên Chiểu
405,1300000,12,,, Khuê Mỹ, Ngũ Hành Sơn
406,1600000,25,1000000,Nhà trống, Hòa An, Cẩm Lệ
407,2000000,30,500,, Hoà Quý, Ngũ Hành Sơn
408,2500000,30,,, Thọ Quang, Sơn Trà
409,1000000,10,500000,Nhà trống, Bình Thuận, Hải Châu
410,1500000,16,,Nhà trống, Xuân Hà, Thanh Khê
411,6000000,84,,, Vĩnh Trung, Thanh Khê
412,1500000,18,500,, Hòa Khánh Bắc, Liên Chiểu
413,2800000,40,,Nhà trống, Thanh Khê Tây, Thanh Khê
414,3000000,30,3000000,Nội thất đầy đủ, Hòa Hiệp Nam, Liên Chiểu
415,3300000,25,3300000,Nội thất cao cấp, An Hải Bắc, Sơn Trà
416,2000000,18,1000000,Nội thất đầy đủ, An Khê, Thanh Khê
417,2000000,20,2000000,, Hòa Cường Bắc, Hải Châu
418,1000000,16,500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
419,1500000,22,,Nhà trống, Hòa Khê, Thanh Khê
420,1600000,20,500000,Nhà trống, Mỹ An, Ngũ Hành Sơn
421,1600000,20,,, Khuê Mỹ, Ngũ Hành Sơn
422,2000000,40,10,Nhà trống, Thanh Khê Đông, Thanh Khê
423,1800000,16,,, An Hải Bắc, Sơn Trà
424,3000000,35,,Nội thất đầy đủ, Hòa An, Cẩm Lệ
425,2500000,20,,Nhà trống, Hòa Cường Nam, Hải Châu
426,2200000,30,2200000,, Hòa Khánh Nam, Liên Chiểu
427,1000000,50,500000,Nội thất cao cấp, An Hải Đông, Sơn Trà
428,1500000,15,,, Hòa An, Cẩm Lệ
429,1200000,25,,Nội thất đầy đủ, Hòa Phước, Hòa Vang
430,1100000,22,500000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
431,2000000,25,1000000,, Hòa Khánh Nam, Liên Chiểu
432,1700000,16,1000000,, Hòa Cường Nam, Hải Châu
433,600000,15,250,, Hòa An, Cẩm Lệ
434,1500000,20,,, Hòa Thọ Đông, Cẩm Lệ
435,1200000,20,1200000,Nhà trống, Hòa Thọ Đông, Cẩm Lệ
436,1600000,16,,, Hòa Khánh Bắc, Liên Chiểu
437,1400000,20,,Nhà trống, Hòa Cường Bắc, Hải Châu
438,1800000,25,1500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
439,1600000,4,1600000,Nội thất đầy đủ, Phước Ninh, Hải Châu
440,1500000,20,1500000,Nhà trống, Thanh Khê Tây, Thanh Khê
441,2800000,40,2800000,, Thanh Khê Tây, Thanh Khê
442,2500000,45,,Nội thất đầy đủ, Khuê Trung, Cẩm Lệ
443,2000000,25,,, Khuê Mỹ, Ngũ Hành Sơn
444,1600000,25,1000000,, Hòa Thọ Đông, Cẩm Lệ
445,3300000,20,3300000,, Hòa Cường Bắc, Hải Châu
446,1500000,30,500000,Nhà trống, Hòa Minh, Liên Chiểu
447,1600000,15,,Nhà trống, Hòa Cường Nam, Hải Châu
448,3500000,35,1500000,Nội thất đầy đủ, Hòa Cường Nam, Hải Châu
449,2500000,30,1000000,, Hòa Cường Nam, Hải Châu
450,1300000,20,500000,, Hòa Minh, Liên Chiểu
451,1300000,14,500000,, Chính Gián, Thanh Khê
452,800000,4,500000,, Hòa Cường Bắc, Hải Châu
453,2500000,22,,, Mỹ An, Ngũ Hành Sơn
454,5500000,30,2000000,Nội thất đầy đủ, An Hải Bắc, Sơn Trà
455,1300000,15,500000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
456,2500000,60,2000000,, Khuê Trung, Cẩm Lệ
457,3500000,30,2000000,Nội thất đầy đủ, Hòa Cường Nam, Hải Châu
458,2000000,24,,, Khuê Trung, Cẩm Lệ
459,2500000,30,200000,, Khuê Trung, Cẩm Lệ
460,1700000,30,1000000,, Hòa Thọ Đông, Cẩm Lệ
461,800000,20,,, Thanh Khê Đông, Thanh Khê
462,4500000,25,4500000,Nội thất đầy đủ, Thuận Phước, Hải Châu
463,1500000,20,1,Nhà trống, Khuê Trung, Cẩm Lệ
464,3500000,26,3500000,, Hòa Cường Bắc, Hải Châu
465,1200000,25,1200000,Nội thất đầy đủ, Hoà Quý, Ngũ Hành Sơn
466,1800000,18,,, An Hải Bắc, Sơn Trà
467,3700000,45,3700000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
468,3700000,45,3700000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
469,1800000,16,1800000,, Hòa Khánh Nam, Liên Chiểu
470,2000000,25,,Nhà trống, Bình Hiên, Hải Châu
471,800000,15,,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
472,1000000,16,1000000,Nhà trống, Hòa Thọ Đông, Cẩm Lệ
473,2500000,2133,,, Hòa Thuận Đông, Hải Châu
474,1500000,25,1000000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
475,2000000,50,,, Nại Hiên Đông, Sơn Trà
476,1500000,30,1500000,, Hoà Quý, Ngũ Hành Sơn
477,2000000,20,1000000,, Mỹ An, Ngũ Hành Sơn
478,4200000,50,4200000,Nội thất cao cấp, Mỹ An, Ngũ Hành Sơn
479,800000,20,100000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
480,1200000,12,1200000,, Hòa Xuân, Cẩm Lệ
481,800000,25,200000,Nhà trống, Hòa Thọ Tây, Cẩm Lệ
482,1000000,12,1,Nội thất đầy đủ, Hòa Khánh Nam, Liên Chiểu
483,1500000,25,,, Hòa Khánh Bắc, Liên Chiểu
484,1600000,30,500000,Nhà trống, Hòa An, Cẩm Lệ
485,1400000,30,500000,Nhà trống, Khuê Mỹ, Ngũ Hành Sơn
486,2500000,20,,, Khuê Trung, Cẩm Lệ
487,2500000,22,2500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
488,3000000,40,500000,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
489,1000000,30,500000,Nhà trống, Thanh Khê Đông, Thanh Khê
490,1700000,20,300000,Nhà trống, Mỹ An, Ngũ Hành Sơn
491,2000000,12,,, Hòa Thuận Tây, Hải Châu
492,1200000,20,,Nhà trống, Hoà Hải, Ngũ Hành Sơn
493,1600000,16,1000000,, Hoà Hải, Ngũ Hành Sơn
494,800000,10,50000,Nội thất đầy đủ, Hòa Thọ Tây, Cẩm Lệ
495,1300000,20,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
496,1600000,18,1000000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
497,2500000,50,,Nhà trống, Xuân Hà, Thanh Khê
498,4000000,80,,, An Hải Bắc, Sơn Trà
499,2500000,20,2500000,Nhà trống, Xuân Hà, Thanh Khê
500,1500000,13,500000,Nhà trống, Phước Ninh, Hải Châu
501,4000000,50,4000000,, Khuê Mỹ, Ngũ Hành Sơn
502,1000000,20,500000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
503,1200000,30,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
504,2600000,30,2600000,Nội thất đầy đủ, Bình Hiên, Hải Châu
505,3100000,22,3000000,Nội thất đầy đủ, Thạc Gián, Thanh Khê
506,2500000,30,,Nhà trống, Thanh Khê Tây, Thanh Khê
507,1800000,25,1000000,Nội thất đầy đủ, An Khê, Thanh Khê
508,2000000,25,2000000,Nội thất đầy đủ, Mân Thái, Sơn Trà
509,3500000,30,,Nội thất đầy đủ, Hòa Cường Bắc, Hải Châu
510,1200000,25,,, Hòa Khánh Bắc, Liên Chiểu
511,3500000,25,3500000,, Chính Gián, Thanh Khê
512,1500000,22,,, Mỹ An, Ngũ Hành Sơn
513,1400000,18,500000,, Hòa An, Cẩm Lệ
514,1400000,16,1400000,, Nam Dương, Hải Châu
515,2000000,30,,Nhà trống, Hòa Xuân, Cẩm Lệ
516,1200000,15,1,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
517,4000000,120,4000000,Nhà trống, Hoà Quý, Ngũ Hành Sơn
518,1300000,16,,Nội thất đầy đủ, An Khê, Thanh Khê
519,1500000,15,200000,Nhà trống, Hòa Cường Nam, Hải Châu
520,4300000,30,,, An Hải Bắc, Sơn Trà
521,800000,16,200000,, Hòa Khánh Bắc, Liên Chiểu
522,2800000,35,2800000,Nội thất đầy đủ, Hòa Khánh Nam, Liên Chiểu
523,2000000,25,1000000,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
524,3000000,30,3000000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
525,1000000,19,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
526,1000000,30,500000,Nhà trống, Hòa Tiến, Hòa Vang
527,1300000,15,,Nội thất đầy đủ, An Khê, Thanh Khê
528,2000000,30,,Nhà trống, Hoà Quý, Ngũ Hành Sơn
529,900000,30,,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
530,1000000,25,50000,, Hòa Thuận Tây, Hải Châu
531,2500000,25,500000,Nhà trống, Vĩnh Trung, Thanh Khê
532,800000,11,,, Mỹ An, Ngũ Hành Sơn
533,1900000,45,,Nhà trống, Hòa Minh, Liên Chiểu
534,1200000,20,,Nhà trống, Khuê Mỹ, Ngũ Hành Sơn
535,2000000,12,,, Hòa Thuận Tây, Hải Châu
536,1800000,25,,Nhà trống, Thanh Khê Tây, Thanh Khê
537,2400000,20,,, Thanh Bình, Hải Châu
538,3000000,30,,Nhà trống, Hòa Xuân, Cẩm Lệ
539,1500000,15,1000000,, Hòa Cường Nam, Hải Châu
540,1600000,20,,Nội thất đầy đủ, Thuận Phước, Hải Châu
541,1400000,20,,, Hòa Khánh Bắc, Liên Chiểu
542,1400000,15,500000,, Hoà Quý, Ngũ Hành Sơn
543,1500000,30,,, Hòa Thọ Tây, Cẩm Lệ
544,1500000,20,700000,Nhà trống, Hòa Minh, Liên Chiểu
545,1200000,25,1000000,Nội thất đầy đủ, Hoà Quý, Ngũ Hành Sơn
546,900000,20,,Nhà trống, Hòa Thọ Đông, Cẩm Lệ
547,1800000,20,1800000,, Hòa Cường Nam, Hải Châu
548,2000000,12,1000000,Nội thất đầy đủ, Thanh Bình, Hải Châu
549,2000000,22,,Nhà trống, Hòa Cường Nam, Hải Châu
550,1500000,20,1500000,, Hòa Xuân, Cẩm Lệ
551,1500000,20,1000000,Nhà trống, Mỹ An, Ngũ Hành Sơn
552,5500000,100,,, Hòa Minh, Liên Chiểu
553,1000000,20,,, Hòa Hiệp Nam, Liên Chiểu
554,2300000,28,250000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
555,1600000,16,,, Hòa Xuân, Cẩm Lệ
556,2200000,30,,Nhà trống, Hòa Xuân, Cẩm Lệ
557,1800000,30,500000,, Hòa Minh, Liên Chiểu
558,2000000,28,1000000,, Hòa Minh, Liên Chiểu
559,3500000,40,,, Khuê Mỹ, Ngũ Hành Sơn
560,1400000,18,500000,, An Khê, Thanh Khê
561,1500000,30,1000000,Nhà trống, An Khê, Thanh Khê
562,2300000,33,200,Nội thất đầy đủ, Hoà Quý, Ngũ Hành Sơn
563,1500000,25,100000,Nhà trống, Vĩnh Trung, Thanh Khê
564,1400000,18,500000,Nhà trống, Hòa Hiệp Nam, Liên Chiểu
565,1000000,20,,, Bình Thuận, Hải Châu
566,2000000,20,500000,Nội thất đầy đủ, Mân Thái, Sơn Trà
567,1000000,30,500000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
568,1500000,16,1000000,Nhà trống, Khuê Trung, Cẩm Lệ
569,900000,12,500000,, Thanh Bình, Hải Châu
570,2000000,25,2000000,Nhà trống, Thạc Gián, Thanh Khê
571,500000,17,,, Tân Chính, Thanh Khê
572,2000000,20,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
573,2500000,30,200000,, Tam Thuận, Thanh Khê
574,1700000,25,1000000,Nhà trống, Thọ Quang, Sơn Trà
575,2500000,25,2500000,, Hòa Khê, Thanh Khê
576,1400000,20,,, Thanh Khê Đông, Thanh Khê
577,1500000,15,500000,Nhà trống, Hòa Minh, Liên Chiểu
578,1300000,25,1300000,Nội thất đầy đủ, Khuê Mỹ, Ngũ Hành Sơn
579,800000,16,200000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
580,1600000,35,1000000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
581,2500000,25,1000000,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
582,1500000,14,500000,, Tam Thuận, Thanh Khê
583,1200000,20,1200000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
584,2500000,20,2500000,Nội thất cao cấp, Chính Gián, Thanh Khê
585,1800000,20,1800000,, Mân Thái, Sơn Trà
586,1500000,15,,Nội thất đầy đủ, An Khê, Thanh Khê
587,1700000,105,3400000,Nhà trống, An Hải Đông, Sơn Trà
588,1300000,25,1000000,, Khuê Trung, Cẩm Lệ
589,2000000,20,,, Hòa Cường Nam, Hải Châu
590,400000,125,20000000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
591,1700000,25,1700000,, Hòa An, Cẩm Lệ
592,1500000,15,1500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
593,1500000,16,1000000,, An Hải Tây, Sơn Trà
594,1500000,25,,Nhà trống, Hòa Thọ Đông, Cẩm Lệ
595,2500000,30,1,, Hòa Cường Nam, Hải Châu
596,1400000,15,,Nhà trống, Hòa An, Cẩm Lệ
597,1500000,30,,, Hòa Khánh Bắc, Liên Chiểu
598,1700000,28,1000000,, Hòa Minh, Liên Chiểu
599,1200000,25,,Nhà trống, Hòa An, Cẩm Lệ
600,2000000,25,1000000,, Thọ Quang, Sơn Trà
601,4000000,120,4000000,Nhà trống, Hoà Quý, Ngũ Hành Sơn
602,1500000,17,300000,Nhà trống, Hòa Thuận Đông, Hải Châu
603,3000000,25,3000000,Nội thất đầy đủ, Phước Mỹ, Sơn Trà
604,1500000,18,500000,, Hòa Khánh Bắc, Liên Chiểu
605,1500000,15,500000,Nội thất đầy đủ, Khuê Trung, Cẩm Lệ
606,1200000,25,,, Hòa Khánh Bắc, Liên Chiểu
607,2000000,15,1000000,Nhà trống, Thạc Gián, Thanh Khê
608,1200000,18,500000,Nội thất đầy đủ, Thạch Thang, Hải Châu
609,2500000,25,2500000,, Khuê Trung, Cẩm Lệ
610,1800000,30,2000000,Nhà trống, An Khê, Thanh Khê
611,2500000,35,2500000,, Vĩnh Trung, Thanh Khê
612,2200000,24,,, Hòa Khánh Nam, Liên Chiểu
613,2500000,25,,, Khuê Trung, Cẩm Lệ
614,1600000,32,1600000,, Hòa Khánh Nam, Liên Chiểu
615,3000000,25,3000000,, Vĩnh Trung, Thanh Khê
616,2000000,15,,, Hòa Thuận Tây, Hải Châu
617,1400000,18,1000000,Nhà trống, Hòa Minh, Liên Chiểu
618,1200000,25,,, Phước Thành, Cẩm Lệ
619,2600000,35,1000000,, Hòa Minh, Liên Chiểu
620,1300000,14,1300000,, Hòa Xuân, Cẩm Lệ
621,1800000,24,1,Nhà trống, Hòa Châu, Hòa Vang
622,1500000,20,1000000,, Hòa Minh, Liên Chiểu
623,1700000,20,1700000,Nhà trống, Thạc Gián, Thanh Khê
624,1900000,20,5000,Nội thất đầy đủ, Hòa Thuận Tây, Hải Châu
625,1200000,9,1200000,, Hòa An, Cẩm Lệ
626,2500000,18,,Nội thất đầy đủ, Thuận Phước, Hải Châu
627,1800000,15,500000,Nội thất đầy đủ, Hòa Khánh Nam, Liên Chiểu
628,1500000,25,1500000,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
629,1600000,20,500000,Nhà trống, Hoà Quý, Ngũ Hành Sơn
630,2000000,25,,Nhà trống, Hòa Khê, Thanh Khê
631,3000000,208,100000,, Hòa Khánh Nam, Liên Chiểu
632,900000,12,500,, Hòa Thọ Đông, Cẩm Lệ
633,5500000,50,,Nội thất đầy đủ, Hòa Thuận Đông, Hải Châu
634,1500000,20,1500000,, Hòa Thuận Tây, Hải Châu
635,2800000,25,,, Thanh Bình, Hải Châu
636,1200000,27,1500000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
637,1500000,20,100000,, Thanh Khê Đông, Thanh Khê
638,1200000,26,,, Hòa Phước, Hòa Vang
639,1300000,15,1300000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
640,1500000,15,1500000,, Hòa Thuận Đông, Hải Châu
641,1500000,15,200000,Nhà trống, Hòa Cường Nam, Hải Châu
642,1800000,15,1000000,, Hòa Minh, Liên Chiểu
643,2900000,3,100000,, Hòa Cường Nam, Hải Châu
644,2000000,32,,, An Hải Bắc, Sơn Trà
645,3500000,60,3000000,Nhà trống, Hòa Phát, Cẩm Lệ
646,1800000,20,500000,, Hoà Hải, Ngũ Hành Sơn
647,2500000,27,2000000,Nội thất đầy đủ, Tam Thuận, Thanh Khê
648,1800000,26,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
649,1400000,26,,, Hòa Thọ Đông, Cẩm Lệ
650,1800000,26,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
651,6600000,48,6600000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
652,4000000,40,4000000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
653,4000000,35,4000000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
654,2000000,22,500000,Nhà trống, Hòa An, Cẩm Lệ
655,1700000,30,1000000,Nhà trống, Hòa Minh, Liên Chiểu
656,4500000,30,100000,Nội thất đầy đủ, Hoà Quý, Ngũ Hành Sơn
657,1300000,13,500000,Nhà trống, Hòa Minh, Liên Chiểu
658,2000000,35,,Nhà trống, Thọ Quang, Sơn Trà
659,2800000,35,2800000,Nội thất đầy đủ, An Hải Đông, Sơn Trà
660,1200000,25,,, Hòa Xuân, Cẩm Lệ
661,800000,22,800000,, Hòa Khánh Bắc, Liên Chiểu
662,2000000,25,500000,, Hòa Minh, Liên Chiểu
663,2700000,45,,, Thạch Thang, Hải Châu
664,5000000,30,3000000,Nội thất đầy đủ, Phước Ninh, Hải Châu
665,1500000,20,,, Hòa Khánh Bắc, Liên Chiểu
666,1500000,20,500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
667,2500000,26,1000000,Nhà trống, Hòa Thuận Đông, Hải Châu
668,1200000,20,,, Hòa Xuân, Cẩm Lệ
669,850000,15,100,Nhà trống, Hòa Minh, Liên Chiểu
670,1700000,13,300000,Nhà trống, Thạch Thang, Hải Châu
671,1500000,26,500000,, Hòa Hiệp Nam, Liên Chiểu
672,1300000,20,500000,Nhà trống, Hòa Phát, Cẩm Lệ
673,1500000,15,,Nội thất đầy đủ, Thanh Bình, Hải Châu
674,2000000,30,,, Hoà Quý, Ngũ Hành Sơn
675,1500000,25,,Nhà trống, Hòa Thọ Đông, Cẩm Lệ
676,2000000,20,1000000,Nhà trống, Khuê Trung, Cẩm Lệ
677,1500000,50,1000000,Nội thất đầy đủ, An Hải Bắc, Sơn Trà
678,2500000,20,,, Mỹ An, Ngũ Hành Sơn
679,1200000,25,,Nhà trống, Hòa Xuân, Cẩm Lệ
680,5500000,100,5500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
681,1500000,25,,, Hòa Minh, Liên Chiểu
682,1500000,30,1000000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
683,3200000,20,3200000,Nội thất đầy đủ, An Khê, Thanh Khê
684,2000000,25,,Nhà trống, Hòa Xuân, Cẩm Lệ
685,100000,25,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
686,80000000,90,10000000,Nội thất đầy đủ, Hòa Khánh Nam, Liên Chiểu
687,1500000,15,1000000,, Hòa Cường Nam, Hải Châu
688,2000000,12,,Nhà trống, Thạc Gián, Thanh Khê
689,1500000,16,1000000,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
690,1800000,20,1000000,Nhà trống, Thanh Bình, Hải Châu
691,3000000,65,3000000,Nội thất đầy đủ, An Hải Bắc, Sơn Trà
692,1800000,15,1000000,Nhà trống, Hòa Hiệp Bắc, Liên Chiểu
693,3000000,100000,,Nhà trống, Hòa Khánh Nam, Liên Chiểu
694,1200000,15,,, Vĩnh Trung, Thanh Khê
695,1400000,20,1400000,Nhà trống, Hòa Minh, Liên Chiểu
696,1600000,20,,, Thạc Gián, Thanh Khê
697,1600000,20,1600000,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
698,1500000,20,500000,Nhà trống, An Hải Bắc, Sơn Trà
699,2700000,34,2700000,Nhà trống, Hòa Cường Nam, Hải Châu
700,1200000,20,500000,Nhà trống, Hoà Quý, Ngũ Hành Sơn
701,2200000,50,,, Hòa An, Cẩm Lệ
702,5000000,50,5500000,, Hòa Cường Bắc, Hải Châu
703,1600000,29,500000,Nhà trống, Hòa Minh, Liên Chiểu
704,2000000,20,2000000,, Thạc Gián, Thanh Khê
705,1000000,15,500000,, Thanh Bình, Hải Châu
706,1300000,30,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
707,1000000,3,1000000,Nội thất cao cấp, Hòa Cường Bắc, Hải Châu
708,2000000,15,500,Nội thất đầy đủ, Hòa Cường Nam, Hải Châu
709,2300000,25,,Nội thất đầy đủ, Hòa Thọ Đông, Cẩm Lệ
710,1500000,20,1500000,Nội thất đầy đủ, Khuê Trung, Cẩm Lệ
711,2000000,20,,Nhà trống, Vĩnh Trung, Thanh Khê
712,2000000,20,,Nhà trống, Khuê Mỹ, Ngũ Hành Sơn
713,1700000,30,500000,, Hòa Minh, Liên Chiểu
714,1900000,28,500000,Nội thất đầy đủ, Thanh Khê Đông, Thanh Khê
715,800000,12,,, Hòa Nhơn, Hòa Vang
716,1000000,25,1000000,Nội thất đầy đủ, An Hải Bắc, Sơn Trà
717,1500000,18,1000000,Nhà trống, Vĩnh Trung, Thanh Khê
718,2700000,24,,, Hòa Thuận Tây, Hải Châu
719,6000000,55,1000000,Nội thất đầy đủ, Thạch Thang, Hải Châu
720,1300000,18,,, Hòa Thuận Tây, Hải Châu
721,1500000,12,300000,Nhà trống, Hòa Thuận Đông, Hải Châu
722,2000000,38,,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
723,1800000,18,500000,, Tân Chính, Thanh Khê
724,700000,15,300,, Hòa Khánh Bắc, Liên Chiểu
725,1800000,20,1000000,, Tân Chính, Thanh Khê
726,1850000,20,200000,Nhà trống, Vĩnh Trung, Thanh Khê
727,3000000,48,,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
728,2500000,50,,Nội thất đầy đủ, Khuê Mỹ, Ngũ Hành Sơn
729,1300000,20,1300000,, Hòa An, Cẩm Lệ
730,800000,20,500000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
731,2200000,30,,, Hải Châu II, Hải Châu
732,1200000,15,,, An Hải Bắc, Sơn Trà
733,1000000,25,,, Thanh Khê Đông, Thanh Khê
734,2000000,25,2000000,, Khuê Trung, Cẩm Lệ
735,1500000,25,500000,, Thạch Thang, Hải Châu
736,2500000,20,2500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
737,800000,18,800000,, Hòa Thọ Tây, Cẩm Lệ
738,1500000,30,500000,Nhà trống, An Khê, Thanh Khê
739,3000000,25,1000000,Nội thất đầy đủ, Phước Mỹ, Sơn Trà
740,700000,32,1000000,Nội thất đầy đủ, Khuê Trung, Cẩm Lệ
741,1000000,22,300000,Nhà trống, Hòa Thọ Tây, Cẩm Lệ
742,1500000,20,500000,Nhà trống, Hòa Phát, Cẩm Lệ
743,1800000,25,1800000,, Hòa An, Cẩm Lệ
744,1700000,28,,Nội thất đầy đủ, Hải Châu II, Hải Châu
745,1300000,20,,Nhà trống, Hòa An, Cẩm Lệ
